Run_ID,Feed_Temp_K,Feed_Press_Pa,Benzene_Frac,Stages,Feed_Stage,Reflux_Ratio,Bottoms_Rate,x_D_Benzene,x_B_Benzene,Q_C_kW,Q_R_kW,Converged
1,346.86107012684664,119871.64298807186,0.5517958928862223,28,12,3.852766594665466,59.258325377064494,0,0,0,0,False
2,291.44183846693755,115843.18506808972,0.37613666204041313,23,13,4.996065737035238,54.989906510567096,0,0,0,0,False
3,297.68973871854035,144422.25124394507,0.3773646983157174,22,7,3.1954076332232,41.06639867866641,0,0,0,0,False
4,316.91162054676914,104444.38075082707,0.4096042044626038,19,11,3.1421750300681834,50.89649448396486,0.4284302584648254,0.0002838019418540056,150955.08564105784,159904.33232918184,True
5,304.6516856711593,133618.88508154414,0.6402825871893245,21,6,3.074304294745578,45.44563999227367,0,0,0,0,False
6,314.39255286504317,145131.80254119934,0.3053064693375963,25,8,3.81940244196607,47.2197042704983,0,0,0,0,False
7,346.1931842473148,128923.90786878704,0.6170463132319903,18,9,4.003203735196466,44.1288520680504,0.6406413036167395,0.0001740741405763051,185911.32247978792,188768.6355007644,True
8,314.9815688508058,103710.0931832395,0.577158530027851,16,6,2.689907657877037,52.5996749221695,0.6038477010065354,0.00010619967850448493,135773.27302444386,144105.34035986784,True
9,338.9175567217804,145541.94675369735,0.37583040886563285,20,7,4.8244887049534855,50.18193152989653,0,0,0,0,False
10,318.48128407502054,120917.94561045954,0.5119263955126484,29,8,1.9063824073876807,54.218731663078024,0,0,0,0,False
11,337.78576595114976,111924.45862302225,0.6083202582101799,16,5,4.627671962242566,57.814940400734756,0.6392160764977647,3.60549565602699e-05,206354.56641444398,210733.58007695104,True
12,301.4065773884558,144879.14504130837,0.5413093194456235,23,8,3.376011940658196,46.67675370194026,0,0,0,0,False
13,337.1849074793915,118787.81067919183,0.624955351973461,23,13,4.738937497509496,47.184073238284974,0,0,0,0,False
14,342.15830702846046,148128.63107109853,0.6244319003770069,26,5,1.5701183126029419,47.49953063176711,0,0,0,0,False
15,302.42590143631656,105705.41964751598,0.6970741615487039,15,8,2.7032500932978785,58.70266074494006,0.7324063500061788,0.0016180216562171896,136089.3917401426,145833.20131922184,True
16,307.847410322165,118401.7960738329,0.4569613631801692,23,8,3.0857724690520465,45.94126547499519,0,0,0,0,False
17,314.66602523112914,114871.36400893454,0.6151463856562372,21,9,1.4409873450092239,54.94909974283104,0,0,0,0,False
18,319.2024055590315,105601.05920599528,0.6994465512673627,19,11,2.1849230478181534,51.56504309420802,0.7304181641442589,0.0008565454379277283,117848.74373736503,124896.47240932188,True
19,312.29621652996553,115530.25552613128,0.6246200747158126,27,10,3.593991388092876,47.28665664305895,0,0,0,0,False
20,331.13151765311966,103131.58860431824,0.4182821331356631,22,12,1.4369008941550847,49.209849161153414,0,0,0,0,False
21,295.3076064281963,118054.17480757638,0.33105727601586094,20,10,4.366679945993388,44.881868814484235,0.34458773245014634,3.237105190834867e-05,195243.9149504314,208120.78562471454,True
22,310.4632661564026,120586.18830482522,0.4049130790434688,19,10,4.899402028706056,42.39038767884945,0.4203146608633083,8.354155635997115e-05,216617.98531308776,226633.57780948112,True
23,318.5584064453908,141991.96849531154,0.4193816429386799,26,7,3.2961783189585825,58.06106698065888,0,0,0,0,False
24,306.8382322135004,123606.93794502485,0.6379489220862176,28,7,2.631556157711887,56.97091370866768,0,0,0,0,False
